"","results"
"42","Here are the extracted details:

1. **Kampong**: Pengkalan Batu
2. **Price**:
	* Harga: 125k (for 0.465 ekar)
	* Harga: 65k (for 0.232 ekar)
3. **Type**: 
	* No specific type mentioned, but the context suggests a rural area development
4. **Storey**: Not specified, possibly single storey given the kampong setting
5. **Status**: Proposed
6. **Land_size**:
	* Lot 1: 0.465 ekar
	* Lot 2: 0.232 ekar (or 2 x 0.116 ekar)
7. **Floor_size**: Not specified
8. **Beds**: Not specified, possibly assumed to be for rural or kampong living with fewer bedrooms
9. **Baths**: Not specified
10. **Land_type**: Leasehold (55 tahun baki 29 tahun)"
"43","Here are the extracted details:

**Kampong:**
- Lempaki Mulaut (village in Brunei)

**Price:**
- $273,000.00
- $283,000.00

**Type:**
- Apartment (none mentioned)
- Bungalow (none mentioned)
- Detached (none mentioned)
- Semi-detached: Yes

**Storey:**
- Double storey

**Status:**
- Ready to move in
- 2 units left

**Land_size:**
- 0.070ac
- 0.108ac

**Floor_size:**
- 1,950 sq ft

**Beds:**
- 4 bedrooms

**Baths:**
- 3 bathrooms

**Land_type:**
- Kekal (land type in Brunei)

**Additional Remark:**
- The house is a double storey semi-detached house.
- It's ready to move in with 2 units left."
"44","Here are the extracted details:

1. **kampong**: Mulaut
2. **price**: $255,000.00
3. **type**:
	* Semi-detached (house)
	* Double storey
4. **storey**: Double storey
5. **status**: Under-construction
6. **land_size**: 0.066 acres
7. **floor_size**: 2650 sq ft
8. **beds**: 4 rooms
9. **baths**: 4 toilets
10. **land_type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Remaining details: not specified
12. **Caption**: 'double storey semi detached house at mulaut under construction...'"
"45","Here are the extracted details:

1. **Kampong**:
	* Serasa (village in Brunei)
2. **Price**:
	* B$230,000.00
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Under-construction
6. **Land size**: Not explicitly mentioned
7. **Floor size**: Not explicitly mentioned
8. **Beds**:
	* No specific number mentioned
9. **Baths**:
	* No specific number mentioned
10. **Land_type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* The remaining details are not clear, but it mentions ""at Serasa"" and the house is described as a ""double storey detached house""."
"46","Here are the extracted details:

**Kampong:**
The kampong mentioned is Kulapis.

**Price:**
The price of this property is between:
* B$188,000.00 (minimum)
* B$178,000.00 (maximum)

**Type:**
This property is a:
* Semi-detached bungalow house

**Storey:**
It is a Single storey property.

**Status:**
The status of this property is Under construction and expected to be complete in February 2022.

**Land_size:**
The land size is between:
* 0.104 acres
* 0.087 acres (exact sizes not specified, but shown as range)

**Floor_size:**
The floor area is between:
* 2,110 sq ft
* 2,273 sq ft

**Beds:**
There are 3 rooms.

**Baths:**
There are 2 toilets.

**Land_type:**
This property is held on a Kekal tenure."
"47","Here are the extracted details:

1. **Kampong**: Salar
2. **Price**:
	* Middle B: $148,000.00
	* Corner: Not specified
3. **Type**:
	* Terrace Bungalow (single storey)
4. **Storey**: Single storey
5. **Status**: Proposed
6. **Land Size**:
	* 0.0466 acres (for Middle B)
	* 0.086 acres (for Corner)
7. **Floor Size**: 1074 sqft - 1112 sqft
8. **Beds**: 3 rooms
9. **Baths**: 2 toilets
10. **Land Type**: Kekal
11. **Additional Remark**:
	* Free sale purchase agreement
	* Water tank pump
	* Water heater
	* Kitchen cabinet B"
"48","Here are the extracted details:

1. **Kampong (Village in Brunei)**: Subok
2. **Price**: B$410,000.00
3. **Type**:
	* Apartment: No mention
	* Bungalow: No mention
	* Detached: Yes
	* Semi-detached: No mention
4. **Storey**: Double storey
5. **Status**: Not mentioned (implied to be existing based on the context)
6. **Land_size**: 0.163 acres
7. **Floor_size**: Not specified (only floor size is not mentioned, but land size is given)
8. **Beds**: 5 rooms (assuming bedrooms, although not explicitly stated as beds)
9. **Baths**: Not specified (number of bathrooms is not mentioned)
10. **Land_type**: Leasehold
11. **Additional Remark**:
	* No additional remark provided in the original text"
"49","Here are the extracted details:

1. **Kampong**: Madang
2. **Price**:
	* Original price: $318k
	* Now offered at: $298k
3. **Type**: Detached house (double storey)
4. **Storey**: Double storey
5. **Status**: Proposed
6. **Land size**: Not mentioned
7. **Floor size**: 2,509.05 sqft
8. **Beds**: 4 rooms
9. **Baths**: 3 toilets
10. **Land_type**: Kekal (in perpetuity)
11. **Additional Remark**: Now offer $298k"
"50","Here are the extracted details:

**Kampong:** Jerudong

**Price:** $139,000.00

**Type:**

* Apartment: None
* Bungalow: Yes (Terrace Bungalow)
* Detached: No
* Semi-detached: No

**Storey:** Single storey

**Status:** Under-construction

**Land_size:** 0.036 acres (approximately 14,616 sq ft)

**Floor_size:** 1000 sq ft

**Beds:** 3 rooms

**Baths:** 2 toilets

**Land_type:** Kekal (In perpetuity)

**Additional Remark:**

* Last unit
* Estimate complete Oct 2022
* Middle location"
"51","Here are the extracted details:

1. **Kampong:**
	* Pengkalan Batu
2. **Price:**
	* $125,000 for 0.465 ekar (approximately 0.73 acres)
	* $65,000 for 0.232 ekar (approximately 0.36 acres)
3. **Type:**
	* Not mentioned explicitly, but implied to be a residential sale
4. **Storey:**
	* Not mentioned
5. **Status:**
	* Not mentioned, but the caption implies it's already available for sale (""tanah untuk di jual"")
6. **Land Size:**
	* 0.465 ekar (approximately 0.73 acres)
	* 0.232 ekar (approximately 0.36 acres)
7. **Floor Size:**
	* Not mentioned
8. **Beds:**
	* Not mentioned
9. **Baths:**
	* Not mentioned
10. **Land Type:**
	* Leasehold for 55 years, with 29 years remaining
11. **Additional Remark:**
	* The sale is subject to housing regulations (""Syarat Perumahan Am"")"
"52","Here are the extracted details:

**Kampong:** Kilanas

**Price:** 
   - Price range: $255,000 to $265,000
   - Proposed price (without specific kampong name mentioned previously)

**Type:**
   - Apartment, bungalow, detached, semi-detached are not explicitly mentioned. However, it is referred as a ""double storey detached house""

**Storey:** 
   - Double storey

**Status:** 
   - Proposed

**Land Size:** 
   - 0.09 acres to 0.133 acres (likely referring to the smaller value as the price range starts from $255,000)

**Floor Size:**
   - Not mentioned in this context but implied through the area of land used for a home of this size and number of rooms

**Beds:** 
   - 4 rooms (implying four bedrooms)

**Baths:** 
   - 3 toilets (assuming each is a bathroom, though ""toilet"" and ""bathroom"" are sometimes distinguished in different contexts)"
"53","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**:
	* Original price: $188k
	* Offered price: $170k
3. **Type**: Terrace house (double storey)
4. **Storey**: Double storey
5. **Status**: New and ready to move in
6. **Land_size**: Not specified
7. **Floor_size**: Approximately 1959 sqft
8. **Beds**: 4 bedrooms
9. **Baths**: 3 toilets (bathrooms)
10. **Land_type**: Leasehold (50 years)
11. **Additional Remark**:
	* 2 car porch
	* Approx 1959 sqft
	* Ready to move in"
"54","Here are the extracted details:

* **Kampong:** Jangsak
* **Price:** RM1,000/month (nett)
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Yes
* **Storey:** Double storey
* **Status:** For rent
* **Land_size:** Not mentioned
* **Floor_size:** Not mentioned
* **Beds:** 3 bedrooms
* **Baths:** Not mentioned (but ""furnished 3 rooms"" implies 3 bathrooms)
* **Land_type:** Not explicitly mentioned, but implied to be Leasehold or In perpetuity or Kekal based on the context of property rental in Brunei
* **Additional Remark:**
	+ Strategic area
	+ Modern elegant decoration
	+ Newly renovated"
"55","Here are the extracted details:

* **Kampong:** Subok
* **Price:**
	+ Original price: $238,000
	+ Current offer: $225,000
* **Type:** Semi-detached house
* **Storey:** Double storey
* **Status:** Ready to move in (new)
* **Land_size:** Not specified
* **Floor_size:** Not specified
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** Not specified
* **Land_type:** Kekal
* **Additional Remark:**
	+ Location: Subok
	+ Type of property: Double storey semi-detached house"
"56","Here are the extracted details:

* **Kampong**: Madang
* **Price**:
	+ Original price: $318,000
	+ Current price: $308,000 (with an offer)
* **Type**: Detached house
* **Storey**: Double storey
* **Status**: Proposed
* **Land_size**: 2,509.05 sqft
* **Floor_size**: Not mentioned explicitly, but implied to be around 2,509.05 sqft (same as land size)
* **Beds**: 4 rooms (assumed to mean 4 bedrooms)
* **Baths**: 3 toilets (assumed to mean 3 bathrooms)
* **Land_type**: Kekal
* **Additional Remark**: The house is a double storey detached house with the mentioned characteristics."
"57","Here are the extracted details:

**1. Kampong**
- Kampong: Mulaut

**2. Price**
- Price: $288,000.00

**3. Type**
- Type: Detached House
- Storey: Double Storey

**4. Status**
- Status: Complete (last unit)

**5. Land Size**
- No specific land size mentioned

**6. Floor Size**
- No specific floor size mentioned

**7. Beds and Baths**
- Number of bedrooms: Not explicitly mentioned, but ""double storey detached house"" implies at least 2-3 bedrooms
- Number of bathrooms: Not explicitly mentioned

**8. Land Type**
- Land type: Leasehold (implied by the price being in thousands)

**9. Additional Remark**
- Last unit available
- Price includes everything complete"
"58","Here are the extracted details:

1. **Kampong**: BSBetabik
2. **Price**:
	* Original price: $235k
	* Current price: $218k (with an offer)
3. **Type**:
	* Semi-detached house
4. **Storey**: Double storey
5. **Status**: Under-construction
6. **Land size**: 0.073 acres (not specified in sq ft)
7. **Floor size**: 2,500 sq ft
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available
	* Now offering a discount on the current price"
"59","Here are the extracted details:

* **Kampong**: Selayun
* **Price**: B$267,000.00
* **Type**:
	+ Detached house
* **Storey**: Single storey (implied by ""1 unit"")
* **Status**: Not mentioned (but ""proposed"" and ""under-construction"" are not indicated)
* **Land Size**: 0.167 acres
* **Floor Size**: 2300 sqft
* **Beds**: 3 rooms (assuming bedrooms, although not explicitly stated as bedrooms)
* **Baths**: 3 toilets (assuming bathrooms, although not explicitly stated as bathrooms)
* **Land Type**: Kekal
* **Additional Remark**: None mentioned"
"60","Here are the extracted details:

1. **Kampong**: Kilanas
2. **Price**: $400,000.00
3. **Type**:
	* Apartment: None
	* Bungalow: None
	* Detached: Yes (new double storey detached house)
	* Semi-detached: None
4. **Storey**: Double storey
5. **Status**: New (ready to move in)
6. **Land size**: 0.132 acres
7. **Floor size**: 3500 sqft
8. **Beds**: Not mentioned, but it's a 5-room house
9. **Baths**: Not mentioned
10. **Land type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available
	* Ready to move in"
"61","Here are the extracted details:

* **Kampong**: Tg Nangka
* **Price**: $238,000.00
* **Type**:
	+ Apartment: No mention
	+ Bungalow: No mention
	+ Detached: No mention
	+ Semi-detached: Yes (2 units double storey semi-detached house)
* **Storey**: Double storey
* **Status**: Under-construction
* **Land Size**: 0.055ac (approximately 2234 sqm)
* **Floor Size**: Not mentioned (assumed to be same as land size or not applicable)
* **Beds**: 4 rooms
* **Baths**: 3 toilets
* **Land Type**: Kekal
* **Additional Remark**:
	+ Location: Tg Nangka
	+ Number of units: 2
	+ Status update: Under construction"
"62","Here are the extracted details:

1. **Kampong**: Lumapas
2. **Price**: $228,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: No
4. **Storey**: Double storey
5. **Status**: Under-construction
6. **Land Size**:
	* 0.113ac (first unit)
	* 0.125ac (second unit, not specified which one)
7. **Floor Size**: 2,500 sq ft
8. **Beds**: 4 rooms (assuming 4 bedrooms)
9. **Baths**: 5 toilets (assuming 5 bathrooms)
10. **Land Type**: Kekal B
11. **Additional Remark**:
	* Double storey detached house
	* 2 units left
12. **Caption**: 'double storey detached house in lumapas...'"
"63","Here are the extracted details:

**kampong:**
* Sg Tilong

**price:**
* BND $298,000.00 (negotiable)

**type:**
* Detached house
* Double storey

**status:**
* Under-construction

**land_size:**
* 0.111ac - 0.142ac (approximately 4,550 sqft to 5,950 sqft)

**floor_size:**
* Not mentioned explicitly, but ""2,297sqfr"" is likely the floor size.

**beds:**
* 4 rooms (assuming bedrooms)

**baths:**
* 3 toilets (assuming bathrooms)

**land_type:**
* Leasehold
* For Rakyat Jati (local Bruneians)
* Lease duration: 55 years

**Additional Remark:**
* Suitable for a family residence"
"64","Here are the extracted details:

**Kampong**: Lumapas

**Price**: $212,000.00

**Type**: 
* Single Storey
* Detached
* Bungalow House

**Storey**: Single storey

**Status**: New (nearly completed)

**Land Size**: 0.125ac (approximately 5,000 sq ft)

**Floor Size**: 1,370sq ft

**Beds**: 3 rooms

**Baths**: 2 toilets

**Land Type**: Kekal

**Additional Remark**: Last unit remaining, nearly completed."
"65","Here are the extracted details:

**Kampong:**
- Kampong Kilanas-Mulaut

**Price:**
- BND $343,000 (negotiable)

**Type:**
- Double storey
- Semi-detached
- Detached (not explicitly mentioned but implied from ""semi-detached"")

**Storey:**
- Double storey

**Status:**
- Ready to move in (last unit available)

**Land Size:**
- 0.109 acres (approx.)

**Floor Size:**
- Approx. 2551 sqft

**Beds:**
- 4 bedrooms

**Baths:**
- 4 toilets (note: the text does not explicitly mention ""bathrooms"", but implies it with the count of ""toilets"")

**Land Type:**
- Kekal ( Malay word for ""in perpetuity"" or perpetual land tenure)

**Additional Remarks:**

* Build-in cabinet for kitchen
* Wardrobe for master bedroom
* Flooring for first floor bedrooms
* Water tank and water pump included"
"66","Here are the extracted details:

1. **Kampong/Village**: Serasa
2. **Price**: $120,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Yes
	* Detached: Not mentioned
	* Semi-detached: Not mentioned
4. **Storey**: Single storey
5. **Status**: Under-construction
6. **Land size**: Not specified
7. **Floor size**: Not specified
8. **Beds**: 4 rooms (assuming 4 bedrooms)
9. **Baths**: 2 toilets (assuming 2 bathrooms)
10. **Land type**: Kekal (In perpetuity)
11. **Additional Remark**:
	* Last unit available
	* Middle unit B"
"67","Here are the extracted details:

* **kampong**: Tg Bunut
* **price**: $188,000.00
* **type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Not mentioned (but mentioned as terrace house)
* **storey**: Double storey
* **status**: Under-construction
* **land_size**:
	+ 0.0349 acres (approximate)
	+ 0.076 acres (additional plot size, presumably for additional land or development potential)
* **floor_size**: 2250 sq ft
* **beds**: Not mentioned directly (but 4 rooms are mentioned)
* **baths**: 4 toilets
* **land_type**: Kekal
* **Additional Remark**:
	+ The remaining details are mostly self-explanatory, but if I had to extract anything specific:
		- 2250 sq ft: This is likely the floor size.
		- 4 rooms: Presumably referring to bedrooms.
		- 4 toilets: Also presumably referring to bathrooms."
"68","Here are the extracted details:

1. **Kampong**:
	* Sengkurong (village in Brunei)
2. **Price**:
	* $318,000.00
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Under-construction
6. **Land_size**:
	* 0.128-0.131 acres (approximately)
7. **Floor_size**:
	* 2,745 sq ft
8. **Beds**:
	* 4 rooms (assuming bedrooms)
9. **Baths**:
	* 5 toilets (assuming bathrooms)
10. **Land_type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* The house is expected to be complete in April 2022"
"69","Here are the extracted details:

**kampong**: Subok (village in Brunei)

**price**: $185,000.00

**type**:
- apartment: No mention
- bungalow: No mention
- detached: No mention
- semi-detached: No mention
- terrace house: Yes

**storey**: Double storey

**status**: Under-construction

**land_size**: 
- 0.068 ac (approximate size)
- 0.11 ac (actual size)

**floor_size**: 1,884 sq ft

**beds**: 4 bedrooms

**baths**: 4 bathrooms

**land_type**: Kekal"
"70","Here are the extracted details:

1. **Kampong**: Sengkurong
2. **Price**: $318,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **Storey**: Double storey
5. **Status**: Under construction
6. **Land size**: 0.128-0.131 ac (approximately)
7. **Floor size**: 2,745 sq ft
8. **Beds**: 4 rooms
9. **Baths**: 5 toilets
10. **Land type**: Kekal
11. **Additional Remark**:
	* Estimated completion: April 2022
	* Total number of storeys: Not mentioned (but double storey)
12. **Caption**: Double storey detached house..."
"71","Here are the extracted details:

1. **Kampong (Village in Brunei)**: Kulapis
2. **Price**: $188,000 - $178,000 (Brunei dollars)
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Semi-detached
	* Detached: Not mentioned
	* Semi-detached: Yes
4. **Storey**: Single storey
5. **Status**: Under-construction
6. **Land Size**: 0.104ac - 0.087ac ( approx. 4351 sq ft - 3673 sq ft)
7. **Floor Size**: 2,110 sq ft - 2,273 sq ft
8. **Beds**: Not mentioned
9. **Baths**: 2 toilets
10. **Land Type**: Kekal
11. **Additional Remark**:
	* The property is under construction and expected to be complete in Feb 2022.
	* It has 3 rooms.
12. **Caption Details**:
	* The price range mentioned ($188,000 - $178,000) has a lower figure first (lower price for the smaller land size)."
"72","Here are the extracted details:

1. **Kampong**:
	* Pengkalan Batu
2. **Price**:
	* $125,000 (for 0.465 ekar)
	* $65,000 (for 0.232 ekar)
3. **Type**:
	* No specific type mentioned (apartment, bungalow, detached, semi-detached not specified)
4. **Storey**:
	* Not mentioned
5. **Status**:
	* Not mentioned (new, proposed, or under-construction not specified)
6. **Land Size**:
	* 0.465 ekar
7. **Floor Size**:
	* Not mentioned
8. **Beds**:
	* Not mentioned
9. **Baths**:
	* Not mentioned
10. **Land Type**:
	* Leasehold (with 55 years remaining and 29 years balance)
11. **Additional Remark**:
	* The land is for sale in Kg Limau Manis, Pengkalan Batu.
	* There are 2 lots available.
	* The house type/requirements for the land is stated as ""perumahan am"" which means residential (no specifics on type)."
"73","Here are the extracted details:

**1. Kampong (Village in Brunei)**
- Mentiri

**2. Price Details**
- Price: $188,000.00
- Land Size: 0.060 ac ( equivalent to approximately 2468 sq ft)

**3. Type of Property**
- Apartment: Not mentioned
- Bungalow: Not mentioned
- Detached House: Not mentioned
- Semi-Detached House: Yes

**4. Storey**
- Single storey: No
- Double storey: Yes

**5. Status**
- New: No
- Proposed: Yes (under proposal)
- Under-construction: No

**6. Land Size**
- 0.060 acres

**7. Floor Size**
- 1350.43 sq ft

**8. Beds and Baths**
- Number of Bedrooms: Not mentioned, but it's a 3-room house
- Number of Bathrooms: 3 toilets (not specified if they are bathrooms)

**9. Land Type**
- Leasehold: No mention of leasehold
- In Perpetuity: Yes, Kekal is used which means in perpetuity

**10. Additional Remark and Caption Details**
- Last unit available
- Price listed in units"
"74","Here are the extracted details:

**Kampong:** Kulapis

**Price:**

* Original price: $135,000
* Current offer: $120,000

**Type:**

* Apartment: No (none of the keywords match)
* Bungalow: Yes
* Detached: No
* Semi-detached: No
* Terrace: Yes (single storey)

**Storey:** Single storey

**Status:** New (since it's being sold off and has a TCP approved status)

**Land Size:** 0.05 acres (b) 

**Floor Size:** Not specified (only floor size for the bungalow itself, which is 1,200 sq ft)

**Beds:**

* Number of rooms: 3

**Baths:** 2 toilets

**Land Type:** Kekal"
"75","Here are the extracted details:

1. **Kampong**:
	* Pangkalan Gadong (village in Brunei)
2. **Price**:
	* $240,000.00
3. **Type**:
	* Terrace house
4. **Storey**:
	* Double storey
5. **Status**:
	* Under-construction
6. **Land_size**:
	* 0.042ac (approximately 17,104 sq ft)
7. **Floor_size**:
	* Not specified in this format, but according to the details: 
	* Main house: 2453 sq ft
	* Extension (if any): not mentioned, or possibly main floor size is used as it was not separated.
8. **Beds**:
	* 4 rooms (assuming bedrooms)
9. **Baths**:
	* 4 toilets (assuming bathrooms)
10. **Land_type**:
	* Kekal
11. **Additional Remark**:
	* Middle unit"
"76","Here are the extracted details:

* **Kampong**: Batong (village in Brunei)
* **Price**: $115,000.00
* **Type**:
	+ Apartment: No
	+ Bungalow: Yes
	+ Detached: No
	+ Semi-detached: No
* **Storey**: Single storey
* **Status**: Proposed
* **Land_size**: Not mentioned (but implied to be small, given the unit number)
* **Floor_size**: Not explicitly mentioned (implied to be around 3 rooms and 2 toilets, but exact size not specified)
* **Beds**: 3 rooms (implying 3 bedrooms)
* **Baths**: 2 toilets (implying 2 bathrooms)
* **Land_type**: Leasehold
* **Additional Remark**: 
	+ The property is a terrace bungalow
	+ It has 2 car park lots
	+ The units are 12 in total"
"77","Here are the extracted details:

* **Kampong:** Bunut
* **Price:**
	+ Proposed price: $275k (nego to $255k)
	+ Last unit price: $255k
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes, a 4-unit double storey detached house
	+ Semi-detached: Not mentioned
* **Storey:** Double storey
* **Status:** Proposed
* **Land_size:** 0.1 acres (approximately 4350 sqft)
* **Floor_size:** Not explicitly stated, but implied to be around 2300 sqft for the last unit
* **Beds:** 4 rooms
* **Baths:** 4 toilets
* **Land_type:** Kekal (in perpetuity)"
"78","Here are the extracted details:

* **Kampong:** Selayun
* **Price:** $290,000.00
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned (detached house is mentioned instead)
	+ Detached: Yes
	+ Semi-detached: Not mentioned
* **Storey:** Double storey
* **Status:** Ready to move in (i.e. existing and not new, proposed, or under-construction)
* **Land_size:** 0.108ac (approximately 4,400 sq ft)
* **Floor_size:** 2,800 sq ft
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** 4 toilets (assuming bathrooms)
* **Land_type:** Kekal (i.e. in perpetuity)
* **Additional Remark:**
	+ Ready to move in
	+ 0.108ac of land"
"79","Here are the extracted details:

**Kampong:** Madang (a village in Brunei)

**Price:**

* Original price: $318,000
* Current offer price: $308,000

**Type:** 
* Detached house

**Storey:** Double storey

**Status:** Proposed

**Land_size:** Not mentioned (implied to be a certain size based on the floor size)

**Floor_size:** 2,509.05 sqft

**Beds:** 4 rooms (assuming bedrooms)

**Baths:** 3 toilets (assuming bathrooms)

**Land_type:** Kekal (in perpetuity)

**Additional Remark:**

* Remaining details not specified
* Mention of ""now offer"" suggesting a discount or promotion"
"80","Here are the extracted details:

**1. Kampong:**
* Sg Akar (village in Brunei)

**2. Price:**
* B$280,000.00

**3. Type:**
* Apartment: No
* Bungalow: No
* Detached: No
* Semi-detached: Yes

**4. Storey:**
* Double storey

**5. Status:**
* Ready to move in (not new, proposed, or under-construction)

**6. Land_size:**
* Not mentioned

**7. Floor_size:**
* Not mentioned

**8. Beds:**
* 4 rooms (assuming bedrooms)

**9. Baths:**
* 3 toilets (assuming bathrooms)

**10. Land_type:**
* Leasehold

**11. Additional Remark:**
* Ready to move in
* 2 car porch
* 1 store room
* Wet and dry kitchen"
"81","Here are the extracted details:

1. **Kampong**: Kiarong
2. **Price**: $395,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: No
	* Semi-detached: Yes
4. **Storey**: Three storey (not single or double)
5. **Status**: For Sale (last unit)
6. **Land_size**: 0.109 acres
7. **Floor_size**: 3,896 sqft
8. **Beds**: 7 rooms
9. **Baths**: 6 toilets
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Last unit available
	* Located in Kiarong kampong
	* Details are for a semi-detached property"
"82","Here are the extracted details:

* **Kampong:** Selayun (village in Brunei)
* **Price:**
	+ Rent: $450/month
	+ Includes water and electricity (excluding air conditioner)
* **Type:** Bungalow
* **Storey:** Single storey (not mentioned as double storey, but rather ""2 rooms"" which implies single storey)
* **Status:** For rent (already existing and not proposed or under-construction)
* **Land_size:** Not mentioned
* **Floor_size:** Not mentioned
* **Beds:** 2 bedrooms
* **Baths:** 1 bathroom
* **Land_type:** Leasehold
* **Additional Remark:**
	+ Furnished as it is
	+ 2 rooms
	+ 1 toilet"
"83","Here are the extracted details:

1. **Kampong (Village in Brunei)**: Not mentioned explicitly.
2. **Price**: $181,000.00 - $244,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Not mentioned
	* Terrace house: double storey
4. **Storey**: Double storey
5. **Status**: Proposed
6. **Land size**: 0.045ac - 0.093ac (Note: ac = acres)
7. **Floor size**: 2,000 sq ft
8. **Beds (Bedrooms)**: 4 rooms
9. **Baths (Bathrooms)**: 4 toilets
10. **Land type**: Kekal (In perpetuity)
11. **Additional Remark**:
	* Location: Tanah Jambu
	* Storey: Double storey
12. **Caption**: Already provided"
"84","Here are the extracted details:

* **Kampong:** Kiarong
* **Price:** $235,000.00
* **Type:**
	+ Apartment: None mentioned
	+ Bungalow: None mentioned
	+ Detached: Three-storey semi-detached house (not detached)
	+ Semi-Detached: Yes
* **Storey:** Three storeys
* **Status:** Ready for move-in, Kekal (in perpetuity)
* **Land Size:** Not specified
* **Floor Size:** 2188 sq ft
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** 5 toilets (assuming bathrooms)
* **Land Type:** Kekal (in perpetuity)"
"85","Here are the extracted details:

**kampong (village in Brunei):**
- Bengkurong

**price:**
- RM 700/month (nett)

**type:**
- Semi-detached
- Bungalow (note: although it's a semi-detached, it's referred to as a bungalow in the caption)

**storey:**
- Not mentioned explicitly, but it can be inferred that it's likely a single storey since it's a semi-detached property

**status:**
- New

**land_size:**
- Not mentioned

**floor_size:**
- Not mentioned (but implied to be a residential unit)

**beds:**
- 3 rooms (note: assuming ""rooms"" refers to bedrooms, but not explicitly stated)

**baths:**
- 2 toilets (assuming ""toilets"" refers to bathrooms, but not explicitly stated)

**land_type:**
- Not mentioned

**Additional Remark:**
- Unfurnished
- For rent"
"86","Here are the extracted details:

**Kampong:**
None mentioned specifically, but the location is Tutong.

**Price:**
- B$155,000.00 - B$165,000.00 ( price range)

**Type:**
- Terrace house

**Storey:**
- Double storey

**Status:**
- Proposed

**Land_size:**
- 0.08ac to 0.1ac

**Floor_size:**
- 1780sqft - 1900sqft

**Beds:**
- 4 rooms (assuming 4 bedrooms)

**Baths:**
- 3 toilets (assuming 3 bathrooms)

**Land_type:**
- Kekal B

**Additional Remark:**

* The property is a double storey terrace house.
* There are 4 units available.
* The land size and floor size have a range."
"87","Here are the extracted details:

**1. Kampong:**
- The kampong mentioned is: Kg Limau Manis, Pengkalan Batu.

**2. Price:**
- The price for 0.465 ekar of land is: $125,000.
- The price for 0.232 ekar of land is: $65,000.

**3. Type:**
- No specific type (apartment, bungalow, detached, semi-detached) mentioned in the text.

**4. Storey:**
- Not specified whether it's a single storey or double storey.

**5. Status:**
- The status is: Proposed, with 55 years of lease remaining and 29 years remaining to be fulfilled.

**6. Land Size:**
- The land size for each lot:
	+ Lot 1: 0.465 ekar.
	+ Lot 2 (if referring to the second mention): Not explicitly mentioned separately from the first lot, but it seems to be referring to the same 0.465 ekar or 0.232 ekar of different lots.

**7. Floor Size:**
- Not specified in terms of floor size.

**8. Beds:**
- Number of bedrooms not mentioned.

**9. Baths:**
- Number of bathrooms not mentioned.

**10. Land Type:**
- The land type is: Leasehold, with 55 years remaining and 29 years to be fulfilled.

**11. Additional Remark:**
- No additional remark extracted from the text.

**12. Caption:**
- Same as above (extracted details)."
"88","Here are the extracted details:

* **Kampong:** Tutong
* **Price:** B$220,000 - B$255,000
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes (7 units double storey)
	+ Semi-detached: Not mentioned
* **Storey:** Double storey
* **Status:** Proposed
* **Land_size:** 0.08ac - 0.1ac (approximately 3,200 sqm to 4,000 sqm)
* **Floor_size:** 2,300sqft per unit
* **Beds:** Not mentioned (but each unit has 4 rooms, which likely implies 4 bedrooms)
* **Baths:** 3 toilets per unit
* **Land_type:** Kekal
* **Additional Remark:**
	+ 7 units
	+ Double storey
	+ Detached house"
